DATE,PPIACO,3m growth rate,12m growth rate
2012-12-01,201.5,-5.555507760166078,0.8508508508508372
2013-01-01,202.5,-1.9511609049791208,0.8968609865470878
2013-02-01,204.3,5.048249284206219,1.3392857142857206
2013-03-01,204.0,5.055904871711525,-0.09794319294808007
2013-04-01,203.5,1.9899887882284693,-0.09818360333824216
2013-05-01,204.1,-0.3910063746773828,1.08964834076275
2013-06-01,204.3,0.5895341445751656,2.2522522522522515
2013-07-01,204.4,1.7808120666746865,2.148925537231383
2013-08-01,204.2,0.1961264427128073,0.7400098667982302
2013-09-01,203.9,-0.7808649820486901,-0.24461839530333096
2013-10-01,202.5,-3.666676356648668,-0.49140049140049546
2013-11-01,201.2,-5.748351587010547,-0.29732408325074955
2013-12-01,202.0,-3.675541849810404,0.2481389578163684
2014-01-01,203.8,2.592735173738725,0.6419753086419844
2014-02-01,205.7,9.25095984693436,0.6852667645619093
2014-03-01,207.0,10.274704844256766,1.4705882352941124
2014-04-01,208.3,9.129046620072144,2.358722358722365
2014-05-01,208.0,4.548106855335843,1.9108280254777066
2014-06-01,208.3,2.5358410249044505,1.95790504160549
2014-07-01,208.0,-0.5748488110580263,1.7612524461839474
2014-08-01,207.0,-1.9092529762743229,1.3712047012732764
2014-09-01,206.4,-3.5989660337439777,1.2260912211868646
2014-10-01,203.4,-8.557002350694399,0.4444444444444473
2014-11-01,200.9,-11.27656139741502,-0.14910536779323413
2014-12-01,197.0,-17.00992963274437,-2.4752475247524774
2015-01-01,192.0,-20.60354343270001,-5.789990186457317
2015-02-01,191.1,-18.13033727905511,-7.097715119105496
2015-03-01,191.5,-10.708481522257852,-7.487922705314009
2015-04-01,190.9,-2.272047768691443,-8.353336533845413
2015-05-01,193.4,4.901846012634148,-7.0192307692307665
2015-06-01,194.8,7.073178973570604,-6.481036965914544
2015-07-01,193.9,6.4357495041859725,-6.7788461538461515
2015-08-01,191.9,-3.0664719298589493,-7.294685990338157
2015-09-01,189.1,-11.20054400366155,-8.381782945736438
2015-10-01,187.5,-12.563281144788808,-7.817109144542778
2015-11-01,185.7,-12.310475315617776,-7.565953210552523
2015-12-01,183.5,-11.329703849062533,-6.852791878172592
2016-01-01,182.6,-10.050655140059472,-4.895833333333332
2016-02-01,181.3,-9.146094387706228,-5.128205128205121
2016-03-01,182.1,-3.017023515285988,-4.908616187989557
2016-04-01,183.2,1.3208406728800304,-4.033525405971716
2016-05-01,185.3,9.121533584890429,-4.188210961737326
2016-06-01,187.6,12.639717604282865,-3.696098562628347
2016-07-01,187.7,10.193306068941531,-3.1975244971634953
2016-08-01,186.6,2.835930092729555,-2.7618551328817187
2016-09-01,186.9,-1.484204320909721,-1.1634056054997344
2016-10-01,186.7,-2.114090293651372,-0.4266666666666752
2016-11-01,186.3,-0.6415376258214867,0.3231017770597866
2016-12-01,188.2,2.811399479037191,2.5613079019073615
2017-01-01,190.7,8.849264888613906,4.435925520262862
