DATE,TB3MS,3m growth rate,12m growth rate
1993-03-01,2.95,-29.55266360602066,-26.980198019801982
1993-04-01,2.87,-16.238862209876547,-23.46666666666667
1993-05-01,2.96,4.158894738668684,-18.45730027548209
1993-06-01,3.07,17.291202280760555,-16.12021857923498
1993-07-01,3.04,25.882902370357776,-5.29595015576324
1993-08-01,3.02,8.357986795491467,-3.514376996805113
1993-09-01,2.95,-14.742113598060447,1.3745704467353903
1993-10-01,3.02,-2.6057231323879937,5.594405594405605
1993-11-01,3.1,11.024545378782236,-0.9584664536741117
1993-12-01,3.06,15.770428838424412,-4.968944099378891
1994-01-01,2.98,-5.193681061384103,-0.666666666666671
1994-02-01,3.25,20.80548926337353,10.921501706484626
1994-03-01,3.5,71.15377067049846,18.644067796610166
1994-04-01,3.68,132.55528754297097,28.222996515679434
1994-05-01,4.14,163.31034406694442,39.86486486486485
1994-06-01,4.14,95.76235779092045,34.85342019543973
1994-07-01,4.33,91.67272212432997,42.434210526315795
1994-08-01,4.48,37.12312164052322,48.34437086092716
1994-09-01,4.62,55.08383706955995,56.61016949152542
1994-10-01,4.95,70.79266308463818,63.90728476821192
1994-11-01,5.29,94.40643313972711,70.64516129032256
1994-12-01,5.6,115.8659809548864,83.00653594771241
1995-01-01,5.71,77.06129540304872,91.61073825503357
1995-02-01,5.77,41.54044754164608,77.53846153846153
1995-03-01,5.73,9.614089263954217,63.71428571428572
1995-04-01,5.65,-4.137365901800971,53.53260869565217
1995-05-01,5.67,-6.754263633560875,36.956521739130444
1995-06-01,5.47,-16.951686499344433,32.12560386473431
1995-07-01,5.42,-15.315611692973077,25.17321016166281
1995-08-01,5.4,-17.729752520811783,20.535714285714278
1995-09-01,5.28,-13.18667609245322,14.28571428571428
1995-10-01,5.28,-9.938631061283676,6.666666666666665
1995-11-01,5.36,-2.930203428038114,1.3232514177693888
1995-12-01,5.14,-10.19163584723264,-8.214285714285719
1996-01-01,5.0,-19.583655538079704,-12.434325744308229
1996-02-01,4.83,-34.062972595790654,-16.291161178509526
1996-03-01,4.96,-13.288992972126756,-13.438045375218156
1996-04-01,4.95,-3.9403990000000055,-12.389380530973447
1996-05-01,5.02,16.688040129341463,-11.463844797178135
1996-06-01,5.09,10.903288337348217,-6.946983546617913
1996-07-01,5.15,17.167758171304513,-4.981549815498143
1996-08-01,5.05,2.411951977296267,-6.481481481481488
1996-09-01,5.09,0.0,-3.598484848484851
1996-10-01,4.99,-11.85995531958567,-5.492424242424243
1996-11-01,5.03,-1.5747723962739268,-6.156716417910446
1996-12-01,4.91,-13.412572074075047,-4.47470817120622
1997-01-01,5.03,3.2451733343080718,0.6000000000000005
1997-02-01,5.01,-1.5809965475739762,3.7267080745341463
1997-03-01,5.14,20.095437192798936,3.629032258064502
1997-04-01,5.16,10.74569839739874,4.2424242424242475
1997-05-01,5.05,3.232063616463732,0.5976095617529875
1997-06-01,4.93,-15.367883660226568,-3.143418467583503
1997-07-01,5.05,-8.258316372598262,-1.9417475728155442
1997-08-01,5.14,7.321556703976184,1.7821782178217838
1997-09-01,4.95,1.632619337891783,-2.7504911591355485
1997-10-01,4.97,-6.187644107195023,-0.40080160320642433
1997-11-01,5.14,0.0,2.1868787276341894
1997-12-01,5.16,18.080453048727563,5.0916496945010215
1998-01-01,5.04,5.753948351547455,0.1988071570576455
1998-02-01,5.09,-3.8346418556594255,1.5968063872255467
1998-03-01,5.03,-9.70303908223954,-2.1400778210116655
1998-04-01,4.95,-6.953798140748624,-4.069767441860462
1998-05-01,5.0,-6.887306887047195,-0.990099009900991
1998-06-01,4.98,-3.9172486217950553,1.014198782961473
1998-07-01,4.96,0.8105328374203857,-1.7821782178217838
1998-08-01,4.9,-7.763183999999967,-4.6692607003890885
1998-09-01,4.61,-26.567835368261328,-6.8686868686868685
1998-10-01,3.96,-59.369324963238526,-20.321931589537222
1998-11-01,4.41,-34.39000000000002,-14.202334630350189
1998-12-01,4.39,-17.765438795829837,-14.922480620155042
1999-01-01,4.34,44.27071174540902,-13.888888888888895
1999-02-01,4.44,2.7489807819027545,-12.770137524557946
1999-03-01,4.44,4.634234045689967,-11.729622266401584
1999-04-01,4.29,-4.529268383034257,-13.33333333333333
1999-05-01,4.5,5.515964877083612,-9.999999999999998
1999-06-01,4.57,12.236191092682102,-8.232931726907633
1999-07-01,4.55,26.536674871260367,-8.266129032258062
1999-08-01,4.72,21.036941090687343,-3.673469387755113
1999-09-01,4.68,9.981240031731552,1.5184381778741818
1999-10-01,4.86,30.166578826927903,22.72727272727273
1999-11-01,5.07,33.12629418722359,14.965986394557817
1999-12-01,5.2,52.4157902758726,18.45102505694762
2000-01-01,5.32,43.582480596281584,22.580645161290324
2000-02-01,5.55,43.59525696960962,24.99999999999998
2000-03-01,5.69,43.36254136021371,28.15315315315314
2000-04-01,5.66,28.120668364487365,31.93473193473193
2000-05-01,5.79,18.451979397714503,28.666666666666664
2000-06-01,5.69,0.0,24.507658643326046
2000-07-01,5.96,22.94739014033189,30.98901098901099
2000-08-01,6.09,22.392530946291032,29.02542372881356
2000-09-01,6.0,23.63912872230611,28.205128205128215
2000-10-01,6.11,10.453581349271923,25.720164609053487
2000-11-01,6.17,5.358962560486313,21.696252465483234
2000-12-01,5.77,-14.473982221450656,10.961538461538446
2001-01-01,5.15,-49.52642399284027,-3.195488721804507
2001-02-01,4.88,-60.86740647325677,-12.072072072072071
2001-03-01,4.42,-65.56613085197449,-22.319859402460462
2001-04-01,3.87,-68.11290586201632,-31.62544169611308
2001-05-01,3.62,-69.72006112589153,-37.47841105354058
2001-06-01,3.49,-61.13017096454283,-38.664323374340945
2001-07-01,3.51,-32.33180287475055,-41.10738255033557
2001-08-01,3.36,-25.779679153269765,-44.827586206896555
2001-09-01,2.64,-67.25733689144737,-56.00000000000001
2001-10-01,2.16,-85.65876544938902,-64.6481178396072
2001-11-01,1.87,-90.40578786976972,-69.69205834683953
2001-12-01,1.69,-83.2068908420847,-70.7105719237435
2002-01-01,1.65,-65.94971335710068,-67.96116504854369
2002-02-01,1.72,-28.427306478708005,-64.75409836065573
2002-03-01,1.79,25.853502212282176,-59.502262443438916
2002-04-01,1.71,15.358251485554277,-55.81395348837211
2002-05-01,1.73,2.345941352136327,-52.20994475138121
2002-06-01,1.7,-18.64512884711288,-51.2893982808023
2002-07-01,1.68,-6.835022088383679,-52.13675213675213
2002-08-01,1.62,-23.1089758274196,-51.78571428571428
2002-09-01,1.63,-15.480925635468957,-38.257575757575765
2002-10-01,1.58,-21.7667772655169,-26.851851851851848
2002-11-01,1.23,-66.76770093011267,-34.224598930481285
2002-12-01,1.19,-71.59221136705214,-29.585798816568044
2003-01-01,1.17,-69.9312690453712,-29.09090909090909
2003-02-01,1.17,-18.13033727905511,-31.976744186046513
2003-03-01,1.13,-18.69337606977726,-36.871508379888276
2003-04-01,1.13,-12.98976793806068,-33.91812865497077
