DATE,AHETPI,3m growth rate,12m growth rate
2008-08-01,18.18,4.524179227861502,3.8857142857142923
2008-09-01,18.2,3.82516860584956,3.6446469248291535
2008-10-01,18.25,3.356352798032969,3.811149032992045
2008-11-01,18.31,2.8911121799006123,3.8570618264322176
2008-12-01,18.38,4.015120434556274,3.9005087620124224
2009-01-01,18.4,3.328426720514077,3.7789058093626426
2009-02-01,18.44,2.870367103901761,3.5955056179775235
2009-03-01,18.5,2.6372211938350043,3.4675615212528044
2009-04-01,18.52,2.6343266377157226,3.3482142857142794
2009-05-01,18.53,1.966616924751441,3.058954393770863
2009-06-01,18.56,1.3036221301883757,2.9395452024403745
2009-07-01,18.59,1.5204723374402151,2.707182320441981
2009-08-01,18.67,3.056548796200742,2.695269526952715
2009-09-01,18.7,3.051552425068005,2.7472527472527375
2009-10-01,18.74,3.266816091692437,2.6849315068492974
2009-11-01,18.8,2.814442573918452,2.6761332605133914
2009-12-01,18.83,2.8098803978597875,2.4483133841131544
2010-01-01,18.88,3.021913869660464,2.60869565217392
2010-02-01,18.91,2.3610467422284787,2.5488069414316694
2010-03-01,18.91,1.7102765860552482,2.216216216216216
2010-04-01,18.96,1.705718484464147,2.3758099352051865
2010-05-01,19.01,2.1321212333249573,2.59039395574745
2010-06-01,19.02,2.347192748750349,2.4784482758620774
2010-07-01,19.04,1.698475841550562,2.4206562668101173
2010-08-01,19.11,2.120817026805688,2.3567220139260714
2010-09-01,19.11,1.9062212153861944,2.1925133689839615
2010-10-01,19.2,3.4039522919416587,2.45464247598719
2010-11-01,19.21,2.109632050727184,2.1808510638297918
2010-12-01,19.22,2.322415791169985,2.071163037705781
2011-01-01,19.32,2.523535308837932,2.330508474576276
2011-02-01,19.31,2.0985644286830585,2.115282919090422
2011-03-01,19.31,1.8862461965049704,2.115282919090422
2011-04-01,19.36,0.830732818889901,2.1097046413502074
2011-05-01,19.41,2.087612323434485,2.1041557075223594
2011-06-01,19.41,2.087612323434485,2.0504731861198833
2011-07-01,19.47,2.2921705822436023,2.25840336134453
2011-08-01,19.47,1.2422211412710826,1.8838304552590168
2011-09-01,19.48,1.4503777853009492,1.9361590790162309
2011-10-01,19.56,1.8618584956275883,1.8750000000000044
2011-11-01,19.56,1.8618584956275883,1.8219677251431365
2011-12-01,19.56,1.6528575723982808,1.768990634755463
2012-01-01,19.59,0.6149097955610472,1.3975155279503104
2012-02-01,19.59,0.6149097955610472,1.4500258933195287
2012-03-01,19.64,1.6460559744165826,1.708959088555173
2012-04-01,19.68,1.8503750109551296,1.6528925619834656
2012-05-01,19.68,1.8503750109551296,1.391035548686248
2012-06-01,19.72,1.6393101237690555,1.597114889232354
2012-07-01,19.74,1.2251005766814371,1.3867488443759513
2012-08-01,19.74,1.2251005766814371,1.3867488443759513
2012-09-01,19.78,1.2226042502525791,1.5400410677618215
2012-10-01,19.79,1.0170271650298712,1.1758691206543936
2012-11-01,19.84,2.0417922585491244,1.4314928425357865
2012-12-01,19.9,2.448866237888292,1.7382413087934534
2013-01-01,19.94,3.0664788401858267,1.786625829504862
2013-02-01,19.99,3.0586632906165256,2.0418580908626804
2013-03-01,20.01,2.229455798439872,1.8839103869653817
2013-04-01,20.04,2.021158976757742,1.8292682926829285
2013-05-01,20.05,1.2060165285352031,1.880081300813008
2013-06-01,20.12,2.217098954926744,2.0283975659229236
2013-07-01,20.14,2.0109979267516342,2.0263424518743856
2013-08-01,20.17,2.415593249786352,2.1783181357649672
2013-09-01,20.23,2.204878327944293,2.275025278058651
2013-10-01,20.25,2.2026708547878915,2.3244062657908016
2013-11-01,20.31,2.805441088082783,2.368951612903225
2013-12-01,20.34,2.1927916775309697,2.2110552763819236
2014-01-01,20.39,2.7942430633194126,2.2567703109327875
2014-02-01,20.5,3.79483685323847,2.551275637818917
